name,quantity,unit,carbohydrates,protein,fat,calories
canadian protein - chocolate milkshake 100% whey protein isolate,50,grams,0,45,2,202
great value - bread,2,I,0,4,2,140
mcdonalds - hotcakes with syrup,3,hotcakes,0,9,16,600
walmart extra lean beef - beef lean,0,grams,0,48,21,391
compliments - mini burger buns,2,bun,0,8,5,240
heinz - sugar free ketchup,20,milliliter,0,0,0,14
kraft - smooth peanut butter,18,grams,0,4,10,108
shoprite - kernel popcorn,90,grams,0,11,3,300
earth's own - unsweetened almond milk,270,ml,0,1,3,40
great value - eggs,159,grams,0,18,15,210
kellogg's - fruit loops,79,grams,0,3,3,322
mcdonald's - baked apple pie,0,grams,0,2,14,263
compliments - hash brown patties,2,patty,0,2,12,220
quaker oats - quaker rolled oats,84,grams,0,11,6,315
wendy's - lrg chilly,0,ounces,0,29,10,382
carbohydrates - carbohydrates,13,grams,0,0,0,52
bread - bread baguette  1/4 baguette,0,0,0,5,1,150
free run turkey - extra lean free run turkey thigh,260,grams,0,52,13,364
wal-mart - iceburg lettuce,200,grams,0,2,0,24
cinnamon toast crunch cereal,50,grams,0,2,5,208
mc donald's - chicken nuggets,4,peices,0,9,12,187
sugar free jam,19,grams,0,0,0,23
generic - apple - red,250,grams,0,1,0,130
western family - bagels  cinnamon raisin,0,bagel,0,9,2,253
olive oil,2,grams,0,0,2,18
quaker - peaches & cream,2,Paket,0,6,4,260
bagel,0,regular,0,10,1,249
chicken - breast  raw,380,grams,0,87,4,418
president's choice - purple kernel popcorn  sea salt,30,grams,0,2,9,156
everything bagel,0,bagel,0,8,3,246
subway canada steak footlong - subway,0,grams,0,29,24,520
tuna - canned tuna,0,can,0,21,1,84
bananas  raw,60,grams,0,1,0,53
welch's - strawberry jam packet,0,packet,0,0,0,25
teeyl - cliff bar - cliff bar crunchy peanut butter,1,Bar,0,11,8,260
juice burst (apple) - apple juice,150,ml,0,1,1,68
beef jerky - original jerky,77,grams,0,41,3,217
leanfit - whey isolate drink mix,49,grams,0,43,1,184
